sr_no,emis_code,school_name,project,cluster,tehsil,district,students,lat,lon,coords_raw
1,34110214,GPS Kot Bhano Shah,PSSP,C-1,Gujranwala,Gujranwala,238,32.081750,74.152056,"32°04'54.3""N 74°09'07.4""E"
2,34110621,GGPS Iftikhar Colony,PSSP,C-1,Gujranwala,Gujranwala,355,32.115167,74.162750,"32°06'54.6""N 74°09'45.9""E"
3,34110320,GGPS Qila Sunder Singh,PSSP,C-1,Gujranwala,Gujranwala,302,32.136833,74.157000,"32°08'12.6""N 74°09'25.2""E"
4,34110468,GGPS Kot Shera,PSSP,C-1,Gujranwala,Gujranwala,281,32.124306,74.125222,"32°07'27.5""N 74°07'30.8""E"
5,34110627,GGPS Hassan Pura,PSSP,C-1,Gujranwala,Gujranwala,244,32.164222,74.148389,"32°09'51.2""N 74°08'54.2""E"
6,34110167,GPS Rehman Pura,PSSP,C-1,Gujranwala,Gujranwala,322,32.161472,74.160750,"32°09'41.3""N 74°09'38.7""E"
7,34110161,GPS Javed Islamia,PSSP,C-1,Gujranwala,Gujranwala,248,32.158333,74.170500,"32°09'30.0""N 74°10'13.8""E"
8,34110518,GPS Mc No. 18,PSSP,C-1,Gujranwala,Gujranwala,241,32.164056,74.168444,"32°09'50.6""N 74°10'06.4""E"
9,34110256,GPS Rahwali No. 1,PSSP,C-1,Gujranwala,Gujranwala,600,32.250417,74.172472,"32°15'01.5""N 74°10'20.9""E"
10,34110242,GPS Rahwali No. 2,PSSP,C-1,Gujranwala,Gujranwala,270,32.255639,74.161444,"32°15'20.3""N 74°09'41.2""E"
11,34120186,GPS Baghrian Kohna,PSSP,C-1,Wazirabad,Gujranwala,210,32.350778,74.199444,"32°21'02.8""N 74°11'58.0""E"
12,34120145,GPS Jandiala Dhabwala,PSSP,C-1,Wazirabad,Gujranwala,221,32.363806,74.132167,"32°21'49.7""N 74°07'55.8""E"
13,34120108,GPS Dadwali,PSSP,C-1,Wazirabad,Gujranwala,177,32.383778,74.136139,"32°23'01.6""N 74°08'10.1""E"
14,34110193,GPS Solukhan Abad,PSSP,C-2,Gujranwala,Gujranwala,290,32.178389,74.264306,"32°10'42.2""N 74°15'51.5""E"
15,34110200,GPS Mokhal Sindwan,PSSP,C-2,Gujranwala,Gujranwala,208,32.178250,74.351667,"32°10'41.7""N 74°21'06.0""E"
16,34110353,GMPS Tohar Kalan,PSSP,C-2,Gujranwala,Gujranwala,135,32.165500,74.272194,"32°09'55.8""N 74°16'19.9""E"
17,34110616,GMPS Dolo Wali,PSSP,C-2,Gujranwala,Gujranwala,186,32.135722,74.348000,"32°08'08.6""N 74°20'52.8""E"
18,34110221,GPS Muslim Chak,PSSP,C-2,Gujranwala,Gujranwala,230,32.118861,74.234028,"32°07'07.9""N 74°14'02.5""E"
19,34110175,GPS Khokhar Ke,PSSP,C-2,Gujranwala,Gujranwala,200,32.172444,74.202167,"32°10'20.8""N 74°12'07.8""E"
20,34110405,GMPS Kotli Dianat Rai,PSSP,C-2,Gujranwala,Gujranwala,195,32.084833,74.295861,"32°05'05.4""N 74°17'45.1""E"
21,34110194,GPS Gaggar Kay,PSSP,C-2,Gujranwala,Gujranwala,157,32.179944,74.283639,"32°10'47.8""N 74°17'01.1""E"
22,34110181,GPS Muslim Feroze Wala ,PSSP,C-2,Gujranwala,Gujranwala,265,32.157806,74.212444,"32°09'28.1""N 74°12'44.8""E"
23,34110208,GPS Nawan Pind,PSSP,C-2,Gujranwala,Gujranwala,137,32.129222,74.287889,"32°07'45.2""N 74°17'16.4""E"
24,34110171,GPS Kalyar Sabri,PSSP,C-2,Gujranwala,Gujranwala,360,32.165278,74.213056,"32°09'55.0""N 74°12'47.0""E"
25,34110183,GPS Millat Saddique ,PSSP,C-2,Gujranwala,Gujranwala,240,32.133722,74.202222,"32°08'01.4""N 74°12'08.0""E"
1,34130304,GGPS Manhais,PSSP,C-3,Kamoki,Gujranwala,265,31.923583,74.227083,"31°55'24.9""N 74°13'37.5""E"
2,34130373,GGPS Nithran Wali,PSSP,C-3,Kamoki,Gujranwala,140,31.927778,74.286000,"31°55'40.0""N 74°17'09.6""E"
3,34130496,GPS Mc No.5 Kamoke,PSSP,C-3,Kamoki,Gujranwala,282,31.970472,74.218667,"31°58'13.7""N 74°13'07.2""E"
4,34130288,GGPS Darga Pur,PSSP,C-3,Kamoki,Gujranwala,275,31.931639,74.185222,"31°55'53.9""N 74°11'06.8""E"
5,34130229,GPS Manhes,PSSP,C-3,Kamoki,Gujranwala,248,31.923417,74.227056,"31°55'24.3""N 74°13'37.4""E"
6,34130419,GMPS Samun Bala,PSSP,C-3,Kamoki,Gujranwala,205,31.982778,74.293444,"31°58'58.0""N 74°17'36.4""E"
7,34130505,GGPS Ward No.3 Kmk,PSSP,C-3,Kamoki,Gujranwala,281,31.976361,74.233056,"31°58'34.9""N 74°13'59.0""E"
8,34130081,GPS Eminabad No.4,PSSP,C-3,Kamoki,Gujranwala,231,32.042556,74.253000,"32°02'33.2""N 74°15'10.8""E"
9,34130506,GMPS Khot Kalan,PSSP,C-3,Kamoki,Gujranwala,296,32.007333,74.205250,"32°00'26.4""N 74°12'18.9""E"
10,34110415,GMPS Musa Pur,PSSP,C-3,Gujranwala,Gujranwala,165,32.070944,74.231472,"32°04'15.4""N 74°13'53.3""E"
11,34110212,GPS Lorriki,PSSP,C-3,Gujranwala,Gujranwala,115,32.070250,74.241306,"32°04'12.9""N 74°14'28.7""E"
37,34140378,GMPS Chak Chatha,PSSP,C-4,Noshera Virkan,Gujranwala,165,32.122139,73.916278,"32°07'19.7""N 73°54'58.6""E"
38,34140363,GMPS Kot Lala,PSSP,C-4,Noshera Virkan,Gujranwala,135,32.123972,73.861056,"32°07'26.3""N 73°51'39.8""E"
39,34140224,GPS Udho Wali,PSSP,C-4,Noshera Virkan,Gujranwala,220,32.143944,73.895250,"32°08'38.2""N 73°53'42.9""E"
40,34140351,GGPS Chandar,PSSP,C-4,Noshera Virkan,Gujranwala,246,32.104778,73.813250,"32°06'17.2""N 73°48'47.7""E"
