school_id,cluster,students,mean_2023,mean_2024,mean_2025,pp_change_2023_2025,may_anomaly_2025_vs_3yr
school_id_01,C-1,248,0.9428,0.9137,0.9259,-1.69,-1.84
school_id_02,C-1,322,0.9673,0.9496,0.8892,-7.81,-4.25
school_id_03,C-2,360,0.91,0.8726,0.8434,-6.66,-3.17
school_id_04,C-2,200,0.8499,0.8702,0.9074,5.75,5.32
school_id_05,C-2,265,0.8863,0.8851,0.9291,4.28,1.96
school_id_06,C-2,240,0.9177,0.8756,0.8431,-7.46,-1.37
school_id_07,C-2,290,0.8968,0.8941,0.8518,-4.5,-1.97
school_id_08,C-2,157,0.8858,0.8817,0.8312,-5.46,-0.88
school_id_09,C-2,208,0.9037,0.9035,0.8808,-2.29,0.25
school_id_10,C-2,137,0.9546,0.9278,0.8784,-7.62,1.04
school_id_11,C-3,115,0.8919,0.8383,0.8218,-7.01,-2.11
school_id_12,C-1,238,0.9308,0.9231,0.9104,-2.04,-2.11
school_id_13,C-2,230,0.8861,0.8758,0.8319,-5.42,0.39
school_id_14,C-1,270,0.911,0.8922,0.8945,-1.65,-0.51
school_id_15,C-1,600,0.9724,0.9662,0.9852,1.28,0.4
school_id_16,C-4,345,0.9811,0.9598,0.902,-7.91,-2.28
school_id_17,C-4,135,0.9124,0.8874,0.8611,-5.13,-4.99
school_id_18,C-1,302,0.9605,0.9484,0.9379,-2.26,0.03
school_id_19,C-2,135,0.9375,0.933,0.893,-4.45,-1.03
school_id_20,C-2,195,0.9191,0.8988,0.8347,-8.44,-1.94
school_id_21,C-3,165,0.8998,0.8644,0.8543,-4.55,-2.35
school_id_22,C-4,200,0.9615,0.9174,0.9074,-5.41,-0.42
school_id_23,C-4,130,,,0.8569,,
school_id_24,C-4,220,0.9562,0.9523,0.94,-1.62,1.01
school_id_25,C-4,200,0.936,0.9155,0.8549,-8.11,-1.87
school_id_26,C-4,135,0.8928,0.875,0.8694,-2.34,1.98
school_id_27,C-1,281,0.9759,0.9387,0.9656,-1.03,-0.34
school_id_28,C-4,739,0.9789,0.9535,0.9558,-2.31,0.31
school_id_29,C-1,241,0.9332,0.9124,0.938,0.48,1.01
school_id_30,C-2,186,0.9144,0.9048,0.8105,-10.39,-1.89
school_id_31,C-1,355,0.9339,0.945,0.9475,1.36,0.27
school_id_32,C-1,244,0.9433,0.8894,0.9196,-2.37,-4.37
school_id_33,C-1,177,0.9235,0.9054,0.9064,-1.71,-1.56
school_id_34,C-1,221,0.9157,0.882,0.891,-2.47,-1.24
school_id_35,C-1,210,0.9349,0.9236,0.8956,-3.93,-2.29
school_id_36,C-3,231,0.9446,0.9244,0.8965,-4.81,-1.71
school_id_37,C-3,248,0.9305,0.9086,0.8896,-4.09,-0.87
school_id_38,C-3,275,0.9613,0.9623,0.9244,-3.69,-2.73
school_id_39,C-3,265,0.9628,0.9371,0.9233,-3.95,-0.33
school_id_40,C-3,140,0.8836,0.8864,0.8789,-0.47,0.61
school_id_41,C-3,205,0.9356,0.9071,0.9222,-1.34,-1.1
school_id_42,C-3,282,0.9662,0.9461,0.9616,-0.46,1.49
school_id_43,C-3,281,0.9723,0.9576,0.945,-2.73,-0.18
school_id_44,C-3,296,0.9432,0.9359,0.8927,-5.05,-2.48
school_id_45,C-4,149,,,0.8223,,
school_id_46,C-4,220,0.964,0.9465,0.9147,-4.93,-0.85
school_id_47,C-4,246,0.9444,0.917,0.8871,-5.73,-1.48
school_id_48,C-4,135,0.8975,0.8735,0.8716,-2.59,0.59
school_id_49,C-4,200,0.8906,0.863,0.8746,-1.6,1.52
school_id_50,C-4,165,0.9218,0.8863,0.8726,-4.92,0.3
