emis_code,school_name,cluster,students,heat,aq,flood,overall,t2m_max_c,precip_24h_mm_max,burden_days_per_year
34110214,GPS Kot Bhano Shah,C-1,238,44,0,0,22,36.4,0.0,19111
34110621,GGPS Iftikhar Colony,C-1,355,44,0,0,22,36.4,0.0,28506
34110320,GGPS Qila Sunder Singh,C-1,302,40,0,0,20,35.5,0.1,22046
34110468,GGPS Kot Shera,C-1,281,44,0,0,22,36.4,0.0,22564
34110627,GGPS Hassan Pura,C-1,244,40,0,0,20,35.5,0.1,17812
34110167,GPS Rehman Pura,C-1,322,40,0,0,20,35.5,0.1,23506
34110161,GPS Javed Islamia,C-1,248,40,0,0,20,35.5,0.1,18104
34110518,GPS Mc No. 18,C-1,241,40,0,0,20,35.5,0.1,17593
34110256,GPS Rahwali No. 1,C-1,600,40,0,0,20,35.5,0.1,43800
34110242,GPS Rahwali No. 2,C-1,270,40,0,0,20,35.5,0.1,19710
34120186,GPS Baghrian Kohna,C-1,210,40,0,0,20,35.5,0.1,15330
34120145,GPS Jandiala Dhabwala,C-1,221,40,0,0,20,35.5,0.1,16133
34120108,GPS Dadwali,C-1,177,40,0,0,20,35.5,0.1,12921
34110193,GPS Solukhan Abad,C-2,290,40,0,0,20,35.5,0.1,21170
34110200,GPS Mokhal Sindwan,C-2,208,40,0,0,20,35.5,0.1,15184
34110353,GMPS Tohar Kalan,C-2,135,40,0,0,20,35.5,0.1,9855
34110616,GMPS Dolo Wali,C-2,186,40,0,0,20,35.5,0.1,13578
34110221,GPS Muslim Chak,C-2,230,44,0,0,22,36.4,0.0,18469
34110175,GPS Khokhar Ke,C-2,200,40,0,0,20,35.5,0.1,14600
34110405,GMPS Kotli Dianat Rai,C-2,195,44,0,0,22,36.4,0.0,15658
34110194,GPS Gaggar Kay,C-2,157,40,0,0,20,35.5,0.1,11461
34110181,GPS Muslim Feroze Wala ,C-2,265,40,0,0,20,35.5,0.1,19345
34110208,GPS Nawan Pind,C-2,137,40,0,0,20,35.5,0.1,10001
34110171,GPS Kalyar Sabri,C-2,360,40,0,0,20,35.5,0.1,26280
34110183,GPS Millat Saddique ,C-2,240,40,0,0,20,35.5,0.1,17520
34130304,GGPS Manhais,C-3,265,44,0,0,22,36.4,0.0,21280
34130373,GGPS Nithran Wali,C-3,140,44,0,0,22,36.4,0.0,11242
34130496,GPS Mc No.5 Kamoke,C-3,282,44,0,0,22,36.4,0.0,22645
34130288,GGPS Darga Pur,C-3,275,44,0,0,22,36.4,0.0,22082
34130229,GPS Manhes,C-3,248,44,0,0,22,36.4,0.0,19914
34130419,GMPS Samun Bala,C-3,205,44,0,0,22,36.4,0.0,16462
34130505,GGPS Ward No.3 Kmk,C-3,281,44,0,0,22,36.4,0.0,22564
34130081,GPS Eminabad No.4,C-3,231,44,0,0,22,36.4,0.0,18549
34130506,GMPS Khot Kalan,C-3,296,44,0,0,22,36.4,0.0,23769
34110415,GMPS Musa Pur,C-3,165,44,0,0,22,36.4,0.0,13250
34110212,GPS Lorriki,C-3,115,44,0,0,22,36.4,0.0,9234
34140378,GMPS Chak Chatha,C-4,165,46,0,0,23,37.1,0.1,13852
34140363,GMPS Kot Lala,C-4,135,48,0,0,24,37.5,0.0,11826
34140224,GPS Udho Wali,C-4,220,44,0,0,22,36.5,0.0,17666
34140351,GGPS Chandar,C-4,246,48,0,0,24,37.5,0.0,21550
34140365,GMPS Ram Garh,C-4,200,48,0,0,24,37.5,0.0,17520
34110489,GPS No.3 Nai Abadi Ladhay Wala,C-4,739,40,0,0,20,35.5,0.1,53947
34110441,GMPS Ball,C-4,135,44,0,0,22,36.5,0.0,10840
34110270,GPS No.2 Qila Didar Singh,C-4,345,44,0,0,22,36.5,0.0,27704
34110300,GPS Dhendh Say,C-4,135,44,0,0,22,36.5,0.0,10840
34110432,GMPS Hardo Burrhi,C-4,200,44,0,0,22,36.5,0.0,16060
34110437,GMPS Jhugian,C-4,220,40,0,0,20,35.5,0.1,16060
34110440,GMPS Kalu Wali,C-4,200,44,0,0,22,36.5,0.0,16060
34140216,GPS Bhiri Shah Rehman,C-4,149,46,0,0,23,36.9,0.0,12509
34110433,GGPS Heigher,C-4,130,44,0,0,22,36.5,0.0,10439
